RANK;FULL NAME;TEAM;POS;AGE;GP;MPG;MIN%;USG%;TO%;FTA;FT%;2PA;2P%;3PA;3P%;eFG%;TS%;PPG;RPG;TRB%;APG;AST%;SPG;BPG;TOPG;VI;ORTG;DRTG
;Jason Preston;Lac;G;23.36;5;8.7;18.2;20.9;19.2;2;0;8;0.5;8;0.25;0.438;0.415;2.8;1;6.2;1.6;27.4;0;0;0.8;7.6;86.9;106
;Joshua Primo;San;G;19.99;4;23.4;48.6;18.3;26.9;9;0.778;14;0.429;12;0.25;0.404;0.467;7;3.3;7.8;4.5;24.9;0.25;0.5;2.75;8;90.6;114.5
;Taurean Prince;Min;F;28.75;18;19.5;40.7;16.1;15.7;22;0.864;49;0.612;54;0.389;0.597;0.63;7.9;2.5;7.1;1.2;8.1;0.33;0.22;1.17;5.9;110.9;106.2
;Payton Pritchard;Bos;G;24.89;18;11.1;23;21.5;14.4;10;0.7;32;0.469;47;0.34;0.494;0.51;4.7;1.4;7.2;1.1;14.3;0.33;0.06;0.78;7;100.8;112.4
;Trevelin Queen;Ind;G;25.81;2;9.9;20.5;12.7;50;0;0;0;0;3;0;0;0;0;1.5;8.4;1;12;0.5;0.5;1.5;0;31.6;113.2
;Neemias Queta;Sac;C;23.44;1;2.4;5;0;;0;0;0;0;0;0;;;0;1;23.8;1;47.4;0;0;0;0;;
;Immanuel Quickley;Nyk;G;23.51;30;23.6;49.2;19.3;11.9;64;0.844;142;0.458;118;0.297;0.452;0.501;9.6;4;9;3;17.8;1.03;0.1;1.3;8.2;106.4;105.4
;Julius Randle;Nyk;F-C;28.06;30;33.8;70.4;27.2;12.3;198;0.793;279;0.548;213;0.333;0.527;0.584;22.5;9.1;14.2;3.6;16.8;0.73;0.2;2.7;10.7;115.9;103.4
;Austin Reaves;Lal;G;24.56;29;29.5;61.4;13;12.5;82;0.915;103;0.631;92;0.391;0.61;0.677;10.8;3.1;5.6;2.1;9.4;0.55;0.41;1.14;5.6;128.1;111.5
;Cam Reddish;Nyk;F-G;23.3;20;21.9;45.6;15.8;9.1;33;0.879;80;0.55;56;0.304;0.511;0.558;8.4;1.6;3.7;1;6.4;0.75;0.4;0.75;4.3;112.2;109.6
;Davon Reed;Den;G;27.52;20;10.9;22.7;14.1;16.8;12;0.75;23;0.217;31;0.355;0.398;0.439;2.6;1.5;7.7;0.6;6.1;0.25;0.1;0.6;4.9;86.9;108.2
;Paul Reed;Phi;F;23.52;25;10.7;22.3;13.7;19.4;12;0.667;58;0.569;3;0;0.541;0.558;3;3.5;19.3;0.5;6.5;0.88;0.64;0.64;6.5;113;85.5
;Naz Reid;Min;C-F;23.32;24;15.7;32.6;23;11.7;44;0.614;106;0.651;55;0.364;0.615;0.624;9.4;4;14.2;0.8;7.8;0.46;0.88;1;7.9;114.1;100.9
;Nick Richards;Cha;C;25.06;30;19.1;39.9;17;11.1;92;0.739;167;0.605;0;0;0.605;0.651;9;6.5;18;0.7;5.2;0.13;0.87;0.87;7.2;131.5;105.9
;Josh Richardson;San;G;29.26;21;23.3;48.5;20.5;15.4;34;0.853;83;0.47;106;0.368;0.516;0.549;10.7;2.4;5.7;2.9;17.6;0.76;0.1;1.76;7.2;105.1;115.4
;Austin Rivers;Min;G;30.38;20;16.5;34.3;10.8;11.9;19;0.947;24;0.5;42;0.357;0.523;0.585;4.4;1.4;4.5;1.1;7.9;0.45;0.05;0.5;4.6;113.3;110.6
;Duncan Robinson;Mia;F;28.66;22;17.7;36.9;17.8;9.6;18;0.944;31;0.484;103;0.32;0.481;0.514;6.6;2;6.4;1.3;11.1;0.27;0;0.68;5.8;102.5;103
;Jeremiah Robinson-Earl;Okc;F;22.12;26;21.1;43.9;15.3;7.9;28;0.786;98;0.571;76;0.382;0.572;0.593;8.5;5;12.3;1;6.3;0.73;0.42;0.62;6.6;124.2;107.4
;Mitchell Robinson;Nyk;C-F;24.72;22;24.8;51.6;10.1;10.6;39;0.487;101;0.713;0;0;0.713;0.69;7.4;8.5;18;0.8;4.6;0.64;1.95;0.64;6;145;101.2
;Orlando Robinson;Mia;C;20;4;20;41.7;15;11.1;7;0.714;16;0.625;5;0;0.476;0.519;6.3;4;11.4;1.3;9.3;1.25;0.75;0.75;6.4;105.7;98.3
;Isaiah Roby;San;F;24.87;24;12.4;25.8;17.1;13.9;23;0.435;55;0.527;40;0.35;0.526;0.523;4.6;2.8;12.4;1.3;14.4;0.5;0.25;0.71;8.3;103.4;108.9
;David Roddy;Mem;F;21.73;29;19.3;40.2;16;10.6;29;0.69;85;0.529;97;0.289;0.478;0.498;6.7;2.9;8;0.7;4.9;0.31;0.31;0.79;4.9;101.3;107.7
;Ryan Rollins;Gol;G;20.46;9;5.1;10.7;27.9;42.3;4;1;8;0.25;8;0.375;0.406;0.479;1.9;1;10.8;0.3;8.3;0;0.11;1.44;6.5;62.2;97.8
;Derrick Rose;Nyk;G;34.21;22;13.1;27.3;23.2;11.2;10;1;86;0.43;52;0.346;0.464;0.485;6.3;1.7;6.7;1.9;22.2;0.32;0.23;0.82;8.3;103.1;111.1
;Terrence Ross;Orl;G-F;31.87;28;23.7;49.4;16.4;13.2;13;0.692;96;0.458;116;0.371;0.512;0.519;8.1;2.2;5.3;1.3;8;0.68;0.21;1.18;4.8;98.2;112.3
;Terry Rozier;Cha;G;28.76;22;36;75;27.7;10.5;65;0.831;267;0.449;175;0.314;0.458;0.488;20.9;4.5;6.7;5.5;24.6;0.68;0.18;2.5;8.9;102.2;115
;D'Angelo Russell;Min;G;26.82;28;31.9;66.5;22.9;16.3;72;0.792;192;0.563;181;0.376;0.563;0.589;17;3.1;5.3;6.4;29.1;1.25;0.54;2.82;8.7;112.5;112.1
;Matt Ryan;Lal;F;25.67;12;10.8;22.4;17.7;5.5;5;0.8;14;0.143;35;0.371;0.439;0.459;3.9;1.2;5.7;0.3;4.1;0.17;0;0.25;4.1;93.9;106.2
;Matt Ryan;Min;F;25.67;4;3.8;8;11;0;0;0;0;0;4;0.25;0.375;0.375;0.8;0;0;0.5;15.9;0.25;0;0;0;;
;Domantas Sabonis;Sac;F-C;26.63;28;33.2;69.1;19.9;16.2;166;0.735;259;0.656;30;0.367;0.645;0.684;17.7;11.6;20.1;6.4;28.3;0.82;0.54;2.5;13.2;134.3;101.4
;Dario Saric;Pho;F;28.7;14;12;25;17.1;13.2;9;0.778;30;0.367;25;0.32;0.418;0.449;3.8;3.4;15.9;1.1;11.5;0.21;0.14;0.64;8.1;102.6;100.2
;Jordan Schakel;Was;G;24.52;2;3.1;6.5;14.1;0;0;0;1;0;1;1;0.75;0.75;1.5;0;0;0.5;23.3;0.5;0;0;0;;
;Admiral Schofield;Orl;F;25.72;20;12.5;25.9;13.5;5.2;7;1;27;0.63;43;0.372;0.586;0.609;4.5;1.7;7.8;0.7;8.3;0.2;0.1;0.2;5.6;130.9;101.3
;Dennis Schroder;Lal;G;29.26;15;26.5;55.1;15.7;13.5;34;0.941;70;0.457;43;0.302;0.456;0.528;9;1.8;3.6;3.7;18.5;0.53;0;1.33;5.9;107.7;110.4
;Dereon Seabron;Nor;G;22.56;2;1.3;2.6;0;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;
;Alperen Sengun;Hou;C;20.4;26;26.6;55.4;22.2;15.6;90;0.8;252;0.563;22;0.182;0.54;0.587;14.2;8.8;17.8;2.1;13.3;0.65;1;2.23;9.6;115.8;103.7
;Collin Sexton;Uta;G;23.96;27;24.5;51;23.5;13;118;0.831;200;0.535;69;0.362;0.537;0.603;14.3;2.4;5.3;3;17.8;0.59;0.07;1.78;7.7;118.4;111.5
;Landry Shamet;Pho;G;25.77;21;16.8;35.1;17.9;11.4;26;0.885;36;0.444;85;0.353;0.504;0.547;6.9;1;3.3;1.6;12.7;0.67;0.14;0.81;5.3;111.6;110
;Day'Ron Sharpe;Bro;F;21.12;17;8.9;18.6;19;18.6;17;0.706;41;0.488;4;0.75;0.544;0.581;3.6;3.4;21.6;0.6;9.1;0.18;0.59;0.71;8.7;116.3;92.5
;Shaedon Sharpe;Por;G;19.56;29;20.3;42.4;18;8.2;25;0.6;134;0.537;78;0.333;0.524;0.531;8.2;2.6;7.3;0.5;3.8;0.38;0.21;0.69;4.3;105.6;110.7
;Pascal Siakam;Tor;F;28.72;20;35.6;74.1;28.3;9.7;147;0.769;286;0.51;78;0.346;0.512;0.567;24.3;8.3;13.2;6.8;32;0.95;0.45;2.3;12.5;120.3;106.7
;Ben Simmons;Bro;G-F;26.41;21;27.5;57.4;14.6;25.3;35;0.514;125;0.616;1;0;0.611;0.608;8.2;6.7;13.9;5.9;28.9;1.29;0.57;2.29;10;115.5;99.4
;Marko Simonovic;Chi;C;23.18;1;1.7;3.5;25.5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;
;Anfernee Simons;Por;G;23.53;28;36;75.1;26.8;10.1;90;0.9;228;0.526;287;0.387;0.556;0.59;23.4;3;4.7;4.3;19.9;0.82;0.21;2.21;7.5;115.9;111.8
;Jericho Sims;Nyk;C;24.16;22;12.5;26.1;9.9;13.8;10;0.8;52;0.769;0;0;0.769;0.78;4;4;17;0.4;4.1;0.23;0.73;0.41;5.9;149.3;99.3
;Marcus Smart;Bos;G;28.79;28;33.2;69.1;17.2;18.4;53;0.774;121;0.545;153;0.34;0.526;0.553;11.8;3.3;5.4;7.3;29.8;1.25;0.39;2.39;7.9;113.7;105.7
;Dennis Smith Jr.;Cha;G;25.07;15;27.9;58.2;16.2;14.2;12;0.5;104;0.5;30;0.333;0.5;0.503;9.3;3.3;6.2;5.7;29.3;1.8;0.67;1.53;8;108.7;109.7
;Jabari Smith Jr.;Hou;F;19.6;28;30.3;63.2;17.5;9.7;64;0.828;134;0.418;163;0.35;0.476;0.517;12;7.1;12.7;0.7;3.5;0.43;0.93;1.25;5.2;106.5;106.4
;Dru Smith;Mia;G;24.97;5;13.4;27.9;9.9;6.7;0;0;8;0.5;6;0.167;0.393;0.393;2.2;1.8;7.7;1;10.4;0.8;0.6;0.2;4.7;92.9;95.5
;Ish Smith;Den;G;34.46;12;10.4;21.6;20.1;22.5;2;0.5;38;0.421;6;0.333;0.432;0.434;3.3;1.2;6.5;2.1;26.5;0.25;0.5;1.08;7.8;88.3;112.3
;Jalen Smith;Ind;F-C;22.76;30;21.4;44.6;21.4;11.5;68;0.765;146;0.568;117;0.274;0.498;0.536;10.5;6.3;16.1;1.1;7.9;0.37;1;1.27;7.8;106.5;106.1
;Jeremy Sochan;San;F;19.58;23;24;50.1;15.7;15.8;24;0.458;119;0.563;46;0.174;0.479;0.481;7.3;4;9.4;2.2;12.3;0.83;0.43;1.43;6.7;96.7;110.9
;Jaden Springer;Phi;G;20.23;4;2.9;6;26.7;14.5;2;0.5;5;0.4;0;0;0.4;0.425;1.3;0.8;15.3;0;0;0;0.5;0.25;0;;
;Lamar Stevens;Cle;F;25.45;17;23.8;49.5;13.3;7.5;21;0.81;69;0.493;33;0.333;0.495;0.53;6.9;4.2;10.4;0.5;3.1;0.41;0.41;0.53;4.1;108.3;104.4
;Isaiah Stewart;Det;F-C;21.58;25;28.1;58.5;16.7;11.2;81;0.753;106;0.557;104;0.385;0.567;0.609;12;8.5;16.7;1.2;6.1;0.36;0.76;1.24;7.1;121.3;108.4
;Max Strus;Mia;G-F;26.73;29;31.5;65.6;18.7;7.5;36;0.833;106;0.575;236;0.335;0.525;0.544;13.4;3.4;6.2;1.8;8.7;0.79;0.28;1;5.5;106.4;107.2
;Jalen Suggs;Orl;G;21.55;14;28.9;60.2;23.4;21.6;35;0.657;87;0.517;68;0.294;0.484;0.508;12.4;3.3;6.5;5.4;28.9;1.57;0.64;3.36;8.4;98.1;105.6
;Edmond Sumner;Bro;G;26.97;26;15.2;31.6;21.5;14.2;49;0.918;90;0.544;51;0.294;0.507;0.578;7.2;1.5;5.8;1.5;13.5;0.96;0.19;1.04;6.7;109.8;106
;Cole Swider;Lal;F;23.62;1;1.9;4;22.2;0;0;0;0;0;1;0;0;0;0;1;27.8;1;60;0;0;0;0;;
;Jae'Sean Tate;Hou;F;27.14;3;22.7;47.3;16.2;18.7;4;0.75;15;0.533;5;0.4;0.55;0.574;8.3;4.3;10.3;3.3;22.2;1;0;1.67;8.6;118.6;95.9
;Jayson Tatum;Bos;F-G;24.8;29;37;77.1;32.6;10;237;0.861;345;0.557;268;0.358;0.548;0.611;30.2;8.2;12.3;4.1;18.5;1.1;0.93;2.76;10.9;118;106.9
;Terry Taylor;Ind;G;23.24;16;8;16.7;12.1;10.8;5;0.8;21;0.429;10;0.2;0.387;0.422;1.8;1.4;9.4;0.4;6.1;0.13;0.25;0.25;5;97.8;109.7
;Garrett Temple;Nor;G-F;36.62;8;9.2;19.1;14.9;11.6;4;0.75;8;0.5;13;0.462;0.619;0.637;3.6;1;6.1;0.5;7.2;0.75;0.13;0.38;5.3;120;103.7
;Dalen Terry;Chi;F;20.44;11;3.3;6.9;21.1;22.5;4;0.75;8;0.375;4;0.25;0.375;0.436;1.1;0.2;3.1;0.6;25.3;0.09;0.18;0.36;6.2;;
;Cam Thomas;Bro;G;21.18;23;14.8;30.9;22.6;9.9;60;0.783;100;0.41;29;0.345;0.434;0.512;6.9;1.3;5.1;1.4;13.4;0.39;0.13;0.74;6.3;103.6;112.6
;Klay Thompson;Gol;G;32.86;25;31;64.6;25.5;8.7;40;0.875;168;0.423;246;0.382;0.512;0.532;18.4;3.6;6.3;2.4;11.5;0.76;0.48;1.64;7;102.8;112.9
;JT Thor;Cha;F;20.32;19;9.9;20.7;14.5;18.2;11;0.818;22;0.455;27;0.185;0.357;0.409;2.3;1.7;9.3;0.5;6.9;0.32;0.26;0.63;5.1;83.7;112.6
;Matisse Thybulle;Phi;G-F;25.79;24;12.4;25.9;9.5;7.9;6;0.5;23;0.522;33;0.303;0.482;0.486;2.4;1.3;5.9;0.4;4.1;0.83;0.25;0.21;3.5;102.8;101.1
;Xavier Tillman;Mem;F;23.93;15;10.8;22.5;14;12.7;14;0.429;36;0.639;6;0.333;0.619;0.602;3.9;2.4;11.7;0.5;6.6;0.4;0.47;0.47;6.2;120.6;103.9
;Isaiah Todd;Was;F;21.17;4;3.2;6.6;13.8;0;0;0;1;1;3;0;0.25;0.25;0.5;0;0;0;0;0;0;0;0;;
;Obi Toppin;Nyk;F;24.79;25;17.1;35.7;19.2;9.6;17;0.824;74;0.514;97;0.351;0.52;0.538;7.7;3.8;11.5;1;8.9;0.4;0.2;0.76;7.2;108.4;107
;Juan Toscano-Anderson;Lal;F;29.69;14;10.4;21.7;11.6;22.5;7;0.714;17;0.588;11;0.182;0.464;0.499;2.2;1.8;9.1;0.6;6.9;0.21;0.21;0.64;5.1;85.9;101.7
;Karl-Anthony Towns;Min;C-F;27.09;21;33.8;70.3;24.6;15.7;104;0.885;186;0.618;117;0.325;0.568;0.625;20.8;8.2;13.4;5.3;23.4;0.76;0.67;3.1;11.4;118.2;104.1
;Gary Trent Jr.;Tor;G-F;23.92;25;31.3;65.2;22.3;6.8;90;0.778;174;0.523;170;0.335;0.513;0.551;16.9;2;3.6;1.4;7;1.56;0.12;1.12;4.6;112;113.6
;P.J. Tucker;Phi;F;37.62;28;28.7;59.8;6.4;21.7;9;0.778;38;0.5;48;0.396;0.552;0.567;3.6;4.3;8.8;0.9;4.2;0.57;0.29;0.89;3.4;109.8;105.1
;Myles Turner;Ind;C-F;26.74;25;29.6;61.8;20.4;11.3;111;0.766;172;0.616;101;0.416;0.619;0.657;16.9;7.8;14.5;1.4;7.3;0.6;2.16;1.64;7.7;121.8;103.9
;Jonas Valanciunas;Nor;C;30.62;29;23.3;48.5;23.2;15.4;85;0.824;231;0.563;44;0.341;0.555;0.6;12.9;9;21.7;1.7;11;0.31;0.34;1.97;10;115.5;98.4
;Jarred Vanderbilt;Uta;F;23.71;30;24.6;51.3;13.7;17.8;46;0.674;147;0.619;31;0.387;0.612;0.628;8.3;8.1;18.1;2.8;15.5;1.23;0.27;1.43;9.3;125.9;102.4
;Fred VanVleet;Tor;G;28.81;24;36.8;76.8;22.7;9.5;114;0.868;176;0.449;202;0.332;0.475;0.535;19.1;3.8;5.9;6.3;25.4;1.71;0.5;1.88;8.4;115.5;109.6
;Devin Vassell;San;G-F;22.32;23;31.7;66.1;24.8;7.8;74;0.811;206;0.485;162;0.401;0.537;0.568;19.8;4;7;3.4;16.8;1.04;0.39;1.48;8.1;113.8;117.3
;Gabe Vincent;Mia;G;26.51;19;24.8;51.7;17.9;13.6;25;0.84;63;0.524;91;0.297;0.477;0.509;8.8;2.1;4.7;2.9;17.8;0.84;0.11;1.37;6.1;100.8;103.6
;Noah Vonleh;Bos;F;27.32;19;8.4;17.5;9.9;30.7;2;1;20;0.5;4;0.25;0.479;0.502;1.3;2.4;16;0.3;4.7;0.11;0.42;0.58;4.7;101.3;91.4
;Nikola Vucevic;Chi;C;32.15;29;32.3;67.3;20.8;12.2;60;0.85;242;0.579;128;0.367;0.569;0.595;16.3;10.4;18.3;3;13.9;0.62;0.79;1.9;9.9;115.8;108.2
;Dean Wade;Cle;F-C;26.08;17;24.1;50.2;10.6;7.2;13;0.692;28;0.536;56;0.411;0.589;0.602;6.4;4.1;10;1;5.7;0.71;0.35;0.41;4.9;122.8;99.1
;Franz Wagner;Orl;F;21.31;31;33.5;69.7;25;12.6;141;0.872;326;0.543;134;0.328;0.528;0.583;19.6;4.1;7.1;3.5;17.7;0.71;0.26;2.42;7.8;113.4;110.9
;Moritz Wagner;Orl;F-C;25.65;13;26.1;54.5;19.6;15;42;0.905;68;0.632;44;0.273;0.545;0.613;12.3;6.6;14.5;2.2;12.7;0.77;0.31;1.77;8.6;119.2;101.7
;Ish Wainright;Pho;F;28.27;13;11.6;24.2;10.5;8;3;0.667;5;0.4;28;0.429;0.606;0.612;3.2;1.8;8.5;0.8;9.2;0.38;0.23;0.23;5.7;133.4;105.4
;Lonnie Walker IV;Lal;G-F;24.01;26;30.2;62.9;19.6;7.1;58;0.862;180;0.539;134;0.388;0.557;0.589;15.4;2.3;4;1.5;7;0.73;0.35;1;5;113.5;111.8
;Jabari Walker;Por;F;20.39;17;7.7;16;13.3;12.6;6;0.667;21;0.429;11;0.273;0.422;0.447;1.8;1.9;14;0.6;10.4;0.06;0.18;0.29;6.6;103.7;104.4
;Kemba Walker;Dal;G;32.62;3;24.8;51.7;26.3;6.9;12;0.75;18;0.611;17;0.294;0.529;0.571;15.3;3.3;8;4.7;31.9;0;0.67;1;10;123.1;109.6
;John Wall;Lac;G;32.29;25;22.6;47;28.2;15.9;101;0.673;178;0.472;85;0.271;0.451;0.496;12.2;2.7;6.4;5.6;39.8;0.84;0.32;2.32;10.1;102.8;106.3
;T.J. Warren;Bro;F;29.29;7;16;33.2;19.5;4.1;6;0.833;37;0.649;7;0.143;0.58;0.6;8;2.1;7.7;1.3;12.4;0.57;0.14;0.29;7;127.2;107.4
;Duane Washington Jr.;Pho;G;22.74;15;9;18.7;27.3;10.4;2;0;38;0.474;39;0.282;0.448;0.443;4.6;0.6;3.7;0.7;12.1;0.07;0.07;0.6;5.5;87;114.5
;TyTy Washington Jr.;Hou;G;21.09;4;9.1;19;12.3;0;2;0.5;6;0.833;4;0;0.5;0.506;2.8;1.5;8.9;1.8;28.6;0.25;0;0;8.6;133.9;107
;P.J. Washington;Cha;F;24.32;29;31.9;66.4;21.4;9.9;69;0.783;233;0.472;163;0.319;0.475;0.504;14.8;4.8;8;2.3;10.9;0.79;1;1.62;6.9;102.3;111.4
;Yuta Watanabe;Bro;G-F;28.18;18;19.1;39.8;14.2;7.3;13;0.692;41;0.61;55;0.527;0.714;0.718;8.1;3.1;9.3;1.1;8.1;0.39;0.56;0.44;6.3;138.1;109.6
;Lindy Waters III;Okc;F;25.39;7;14;29.1;12.7;6.7;0;0;2;0.5;26;0.385;0.571;0.571;4.6;1.7;6.4;0.6;5.3;0.57;0;0.29;4.8;114.6;108.1
;Trendon Watford;Por;F;22.11;21;17.9;37.3;12.7;17.4;37;0.784;57;0.596;17;0.412;0.601;0.654;5.6;4;12.9;1.8;14;0.52;0.14;0.9;7.7;125.6;105.2
;Peyton Watson;Den;G;20.27;6;2.5;5.2;25.7;0;0;0;8;0.375;1;0;0.333;0.333;1;0.5;11.5;0;0;0;0;0;0;;
;Blake Wesley;San;G;19.76;2;11.8;24.5;22.6;15.7;4;0.5;6;0.667;3;0.667;0.778;0.743;8;1;4.8;2;27.7;0;0;1;8.5;130.2;112.6
;Russell Westbrook;Lal;G;34.1;28;28.1;58.6;27.9;19.2;118;0.678;263;0.452;107;0.271;0.439;0.48;14.5;6.2;11.6;7.6;39.4;1.07;0.54;3.57;12.5;98.4;105
;Coby White;Chi;G;22.84;21;20.1;41.9;17.3;10.7;17;0.706;50;0.56;93;0.333;0.521;0.535;7.7;2.5;7;1.8;12.4;0.62;0.19;0.86;6.5;103.9;108.3
;Derrick White;Bos;G;28.47;31;25.6;53.3;15.8;9.8;62;0.871;103;0.495;127;0.394;0.548;0.595;9.9;2.8;6.2;3.1;16.3;0.84;0.74;0.9;6.9;122.6;105.8
;Jack White;Den;F;25.37;8;3.2;6.7;10.1;0;0;0;4;0.25;2;0;0.167;0.167;0.3;0.6;11.3;0;0;0.13;0.25;0;0;;
;Aaron Wiggins;Okc;G-F;23.96;22;19.4;40.5;13.6;12.9;29;0.759;66;0.561;43;0.395;0.573;0.604;6.7;3.7;10;1.7;11.5;0.55;0.18;0.82;7.2;120.4;108.1
;Andrew Wiggins;Gol;F;27.82;22;32.8;68.4;21.3;8.2;43;0.628;170;0.565;149;0.45;0.616;0.621;19.1;5.1;8.6;2.2;10;1.36;0.77;1.36;7.3;118.7;108.5
;Robert Williams III;Bos;C-F;25.17;2;17.6;36.6;13.6;9.2;2;0.5;9;0.778;0;0;0.778;0.759;7.5;5;15.8;1;8.6;0.5;1.5;0.5;7.6;148.4;100.6
;Vince Williams Jr.;Mem;G;22.3;6;6.6;13.8;11.4;0;0;0;3;0.667;8;0.125;0.318;0.318;1.2;0.8;6.7;0.3;6.1;0.67;0.17;0;4;86.6;97.7
;Alondes Williams;Bro;G;23.5;1;5.3;11;16.9;100;0;0;0;0;0;0;;;0;1;10.8;0;0;0;0;2;0;;96.3
;Grant Williams;Bos;F;24.05;30;28.6;59.7;11.8;11.7;44;0.818;72;0.681;112;0.438;0.666;0.691;9.4;4.6;8.9;1.7;7.8;0.8;0.33;0.9;5.9;130.6;105.1
;Jalen Williams;Okc;G-F;21.68;26;26.8;55.8;16.8;14.9;48;0.729;154;0.617;65;0.277;0.557;0.581;10.7;3.2;6.2;2.7;14.2;0.62;0.38;1.62;6.7;109.7;108.8
;Jaylin Williams;Okc;F;20.47;7;8.7;18.1;15.5;8.8;6;0.667;13;0.538;5;0.2;0.472;0.509;3;2.3;13.8;1;15.4;0.43;0;0.29;8.8;118.4;97.6
;Kenrich Williams;Okc;G-F;28.05;22;21;43.7;12.5;5.8;17;0.412;79;0.595;44;0.364;0.577;0.571;6.8;4;10;1.5;9.9;0.64;0.18;0.36;6.6;126.7;108.3
;Mark Williams;Cha;C;21.01;3;4.3;9;33.4;19.4;3;1;7;0.571;0;0;0.571;0.661;3.7;2.7;33.1;0;0;0;0;0.67;0;117.8;90.4
;Zion Williamson;Nor;F;22.45;24;33.1;69;28.9;13.5;187;0.722;367;0.624;18;0.333;0.618;0.654;25.5;7.2;12.1;4.6;23.6;1.17;0.63;3.04;11.4;123.6;105.9
;Patrick Williams;Chi;F;21.32;29;27;56.3;15.4;14.7;33;0.939;133;0.481;90;0.444;0.556;0.587;9.6;3.8;7.9;1.2;6.1;0.59;0.97;1.41;5.2;107.7;110.3
;Ziaire Williams;Mem;F;21.27;5;18.3;38.1;17.9;15;2;1;17;0.529;16;0.063;0.318;0.339;4.6;4.2;12.2;1.6;11.1;0.6;0.4;1.2;6.9;75.5;105.1
;Justise Winslow;Por;F-G;26.73;27;27.3;56.9;14.2;17.1;28;0.714;145;0.434;41;0.317;0.444;0.466;6.9;5.1;10.6;3.5;17.5;1.07;0.37;1.52;7.3;104.7;104
;James Wiseman;Gol;C;21.72;14;11.8;24.7;20;12.7;25;0.64;58;0.586;0;0;0.586;0.609;6;3.5;16.3;0.8;9.7;0.07;0.29;0.71;8.7;117.6;97.8
;Christian Wood;Dal;F;27.23;27;27;56.2;26.8;14.2;113;0.69;210;0.624;110;0.4;0.616;0.638;17.5;8;17.7;1.4;9;0.44;0.63;2.26;8.6;113;102.3
;McKinley Wright IV;Dal;G;24.15;2;3.8;7.8;24.1;0;0;0;3;0.333;1;0;0.25;0.25;1;1.5;23.7;1.5;59.7;0.5;0;0;13.8;;
;Delon Wright;Was;G;30.65;4;22.7;47.3;14.5;13.2;5;0.6;12;0.583;12;0.25;0.479;0.496;6.5;2.5;6.1;3.3;19.2;2.75;1;1;6.6;109.4;108
;Thaddeus Young;Tor;F;34.49;27;17.2;35.8;12.9;14.9;16;0.813;94;0.606;19;0.211;0.558;0.579;5.1;3.7;12.2;1.8;14.8;1.07;0.11;0.78;7.5;122.4;105.1
;Trae Young;Atl;G;24.25;27;35.7;74.3;33.8;13.3;229;0.895;381;0.47;191;0.288;0.457;0.541;27;2.7;4.2;9.9;43;0.74;0.15;3.81;10.1;112.4;115.6
;Ivica Zubac;Lac;C;25.76;30;29.5;61.5;14.7;21.4;96;0.667;192;0.62;1;0;0.617;0.642;10.1;10.8;19.8;1.1;5.5;0.4;1.57;2.13;6.7;115.7;98.8
